ID,MC,Q1,Q2,Q3,Q4,MS,Class
1035,54,14,42.5,32,28,23.5,35.74
,,,,,,,
,,,,,,,
5446,52,14,36.5,30,29.5,10.5,34.39
3602,44,13,39.5,30.5,26.5,19,33.75
2960,50,14,36.5,27,27.5,15.5,34.35
5726,52,13,38.5,29.5,21.5,16,34.25
3450,56,13.5,41.5,30,23.5,4,35.91
1095,48,13.5,38.5,27,24,16.5,34.35
1084,48,13,33.5,27,21.5,23.5,34.44
,,,,,,,
7479,54,12.5,34.5,26.5,19.5,16.5,34.83
2748,46,13.5,33,24.5,28,17,34.4
6353,48,12,42.5,20.5,24,12,35.84
1134,46,11.5,35.5,27.5,23.5,12.5,34.36
,,,,,,,
3633,46,13,42,23,21.5,10,34.84
6758,48,12.5,31.5,27,20,16,34.31
4199,54,13,34,27.5,17.5,8.5,34.35
2790,50,12.5,34,27.5,18.5,11.5,34.41
8665,50,11,34.5,19,23,16,33.99
4857,52,13,31,30.5,17.5,9.5,33.91
5847,42,12,35.5,21,23,16,34.43
4883,46,9.5,34.5,25.5,18,14.5,33.91
,,,,,,,
9262,50,12.5,35,16,23,9,34.5
7923,40,11,35,25,15,16,33.94
2943,54,11.5,30,15,15,19.5,34.17
6445,48,11.5,36,18,13.5,14,34.16
7434,38,12.5,36.5,19,21,12.5,35.37
1689,46,13,39,23,9.5,10,33.82
1157,36,9,38,23.5,21,9.5,34.83
1738,40,9.5,34,20,16,17,34.35
8983,44,14,34.5,13,19,11.5,34.85
4786,50,7,27,14.5,19,16,35.89
4738,34,10,37,25.5,11.5,15,33.96
8713,40,9,22,22,24,16,33.89
3196,48,11.5,34,22.5,11,5.5,33.9
1261,54,8.5,34,13,11,8.5,35.39
,,,,,,,
6820,46,1.5,29,12.5,17,22,33.89
6453,44,13,39,13.5,8,10,33.91
9044,40,11.5,23,16,22,14.5,33.94
6819,38,13.5,31,13.5,23.5,7.5,33.88
8012,50,7.5,31.5,12.5,15,9,34.74
8185,44,10.5,28,18,23,2,33.81
3240,38,10,30.5,17,17,9.5,33.86
2252,46,11.5,30.5,5,21,6.5,34.25
,,,,,,,
3208,46,14,35,17,7,0,34.37
1388,32,13,27,15,21,13,31.47
3014,38,8.5,33.5,19,4.5,13,33.46
5498,40,11,33.5,18.5,11,1,34.85
1702,38,13.5,36.5,15.5,10,2,33.85
7018,40,11,32,20,5.5,6,34.41
4918,40,9.5,29,18,12.5,5.5,33.28
,,,,,,,
1356,28,14,31,7.5,20.5,11,33.41
1614,36,9,28,22.5,11,5,33.81
7079,34,12.5,24.5,14.5,25.5,0.5,33.28
3508,28,7.5,34.5,18.5,22,0,33.37
,,,,,,,
6533,48,9.5,11,19,12.5,6.5,34.37
4967,18,13,37.5,24.5,9.5,2,34.39
9793,36,10.5,24,16.5,1,17,33.03
7915,44,12.5,23,6.5,13,3.5,34.37
4037,42,13,24.5,19,5,0,32.6
8909,42,11,30,15.5,1,0,34.38
3459,32,10.5,13.5,11,23,10,33.64
7520,26,9,30,17.5,6.5,7,33.89
,,,,,,,
6675,34,9.5,23,18,5.5,0,34.39
2340,12,2.5,28.5,7,24.5,15,33.69
4856,24,11.5,24,19,6,2.5,33.91
,,,,,,,
7627,22,12,21,10,3,14.5,32.89
3366,10,8.5,22.5,12,16,9,33.98
5283,32,13,23.5,7.5,2,0,33.76
7111,26,11,17,14,8,0,33.89
4662,16,12,17.5,10,11,10,32.74
,,,,,,,
,,,,,,,
1965,20,11,11.5,13,13.5,3,33.05
9758,18,13.5,21,12,2,6,32.51
1334,18,5.5,28,12.5,0,10.5,30.17
9900,10,4,24,13,16,3,33.62
6237,10,12,32,4,7.5,3.5,32.5
1741,24,13.5,16.5,11.5,0,0,33.39
,,,,,,,
,,,,,,,
,,,,,,,
1564,6,9,27,4,1,0,33.28
,,,,,,,
4937,14,1.5,20.5,6.5,0,0,33.89
,,,,,,,
5785,14,3.5,9,7,2.5,7,32.16
7062,18,10,16,3,0,0.5,25.3
,MC*2,Q1,Q2,Q3,Q4,MS,
,60,15,45,35,30,25,
,,,,,,,
,,,,,,,
,MC*2,Q1,Q2,Q3,Q4,MS,
,60,15,45,35,30,25,
%,0.63,0.73,0.66,0.51,0.49,0.37,
,,,,,,,
AVG,37.59493671,10.87974684,29.93037975,17.85443038,14.84177215,9.329113924,
STD,13.12027105,2.885879848,7.70561491,7.272688592,8.338412928,6.413070625,
High,56,14,42.5,32,29.5,23.5,35.91
Low,6,1.5,9,3,0,0,25.3
,,,,,,,
PLUS 1,50.71520776,13.76562668,37.63599466,25.12711897,23.18018508,15.74218455,
Plus two,,,,32.39980756,,22.15525517,
,,,,,,,
MINUS 1,24.47466566,7.993866987,22.22476484,10.58174179,6.503359224,2.916043299,
MINUS 2,11.3543946,5.107987139,14.51914993,3.309053196,-1.835053703,-3.497027327,
